순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
47,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,15,9.79119E+12,67400,408,"3,013"
48,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,7,9.78893E+12,77400,400,"3,012"
49,흔한남매 과학 탐험대 6 : 물리 2,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,6,9.78893E+12,,,"2,955"
50,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,12,9.79117E+12,77400,400,"2,951"
51,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,1,9.78893E+12,77400,400,"2,900"
52,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,1,9.79117E+12,74810,813.5,"2,885"
53,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,3,9.79117E+12,74810,813.5,"2,848"
54,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,6,9.79117E+12,77490,472,"2,838"
55,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,2,9.79117E+12,74810,813.5,"2,824"
56,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,4,9.79116E+12,77490,472,"2,822"
57,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,5,9.79117E+12,74810,813.5,"2,819"
58,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,63,9.79117E+12,77720,711.4,"2,803"
59,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9,9.79117E+12,77490,472,"2,793"
60,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,5,9.78893E+12,,,"2,790"
61,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,4,9.78893E+12,,,"2,789"
62,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,29,9.79119E+12,74910,911,"2,752"
63,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,62,9.79117E+12,77720,711.4,"2,715"
