순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
92,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,5,9.78893E+12,,,"2,441"
93,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,3,9.79117E+12,77030,388,"2,438"
94,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,1,9.79113E+12,,,"2,431"
95,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,1,9.78893E+12,77400,400,"2,427"
96,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,20,9.79116E+12,73830,833.6,"2,425"
97,(신기한 맛) 도깨비 식당,"김용세,센개 그림",꿈터,2022,6,9.79117E+12,74810,813.7,"2,419"
98,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,4,9.79113E+12,77700,710,"2,417"
99,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9.79116E+12,74830,833.6,"2,413"
100,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,5,9.79119E+12,77810,31,"2,411"
101,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,10,9.79116E+12,74830,833.6,"2,408"
102,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,4,9.79119E+12,77810,31,"2,401"
103,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,4,9.78893E+12,,,"2,396"
104,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,2,9.79116E+12,77810,691,"2,395"
105,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,4,9.79117E+12,77810,691,"2,384"
106,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,1,9.79116E+12,77810,691,"2,381"
107,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,1,9.79113E+12,74810,813.7,"2,376"
108,반려 요괴,김영주 글 ;밤코 그림,위즈덤하우스,2024,1,9.79117E+12,74810,813.7,"2,372"
