순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
78,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,2,9.78897E+12,4810,813.6,471
80,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,2,9.78896E+12,4810,813.6,470
80,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9.78897E+12,4840,843.6,470
80,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,2,9.78897E+12,4810,813.6,470
80,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,,9.789E+12,3810,813.62,470
84,혼불 :대하소설,崔明姬,매안,2009,2,9.78899E+12,4810,813.6,468
84,황현필의 진보를 위한 역사 =진짜 진보의 지침서 & 가짜 극우의 계몽서 /A history for progressives ,황현필 지음,역바연,2025,,9.7912E+12,3910,911.06,468
86,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,,9.79119E+12,3320,327.04,466
87,"김형석, 백 년의 지혜 :105세 철학자가 전하는 세기의 인생론 ",김형석 지음,21세기북스(북이십일 21세기북스),2024,,9.79117E+12,3190,199.1,465
88,리버 :오쿠다 히데오 장편소설 ,지은이: 오쿠다 히데오 ;옮긴이: 송태욱,은행나무,2024,1,9.79117E+12,4830,833.6,464
88,어른의 행복은 조용하다 ,글: 태수,페이지2북스,2024,,9.79117E+12,3810,818,464
90,사람의 향기 :사서삼경에서 건져 올린 천년의 내공 ,조윤제 지음,유노콘텐츠그룹,2025,,9.79117E+12,3140,140,460
91,미중전쟁 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2017,2,9.78897E+12,4810,813.62,458
92,이동 평균선 투자법 :차트 분석의 시작과 끝은 이동 평균선이다 ,고지로 강사 지음 ;김정환 옮김,이레미디어,2024,,9.79119E+12,3320,327.856,457
93,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9.78897E+12,4840,843.6,456
93,상식 :우리는 이러했다 ,김용옥 지음,통나무,2025,,9.78898E+12,3910,911,456
95,강인함의 힘 :회복탄력성을 능가하는 강인함의 비밀 ,스티브 매그니스 지음 ;이주만 옮김,상상스퀘어,2024,,9.79119E+12,3190,325.211,454
96,회생의 갈림길 :마이클 코넬리 장편소설 ,지은이: 마이클 코넬리 ;옮긴이: 한정아,RHK(알에이치코리아),2024,,9.78893E+12,3840,843.5,452
97,물질의 세계 :6가지 물질이 그려내는 인류 문명의 대서사시 ,에드 콘웨이 지음 ;이종인 옮김,인플루엔셜,2024,,9.79117E+12,3900,321.3,448
98,미중전쟁 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2017,1,9.78897E+12,4810,813.62,446
98,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,1,9.78897E+12,4810,813.62,446
100,어떻게 민주주의는 무너지는가 :우리가 놓치는 민주주의 위기 신호 ,"스티븐 레비츠키,박세연 옮김",어크로스,2018,,9.79116E+12,3340,340.22,445
101,"다시, 역사의 쓸모 :합리적이고 품위 있는 선택을 위한 20가지 지혜 ",최태성 지음,프런트페이지,2024,,9.79119E+12,3900,904,444
102,(趙廷來 大河小說) 아리랑,趙廷來,해냄출판사,2007,2,9.78897E+12,4810,813.6,440
103,즐거운 어른 :이옥선 산문 ,지은이: 이옥선,이야기장수,2024,,9.79119E+12,3810,818,439
104,객주 :김주영 장편소설,지은이: 김주영,문학동네,2013,4,9.78895E+12,4810,813.62,432
104,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,2,9.78897E+12,4810,813.62,432
104,재수사 :장강명 장편소설 ,지은이: 장강명,은행나무,2022,2,9.79117E+12,4810,813.7,432
104,리버 :오쿠다 히데오 장편소설 ,지은이: 오쿠다 히데오 ;옮긴이: 송태욱,은행나무,2024,2,9.79117E+12,4830,833.6,432
108,무의식은 어떻게 나를 설계하는가 :나를 살리기도 망치기도 하는 머릿속 독재자 ,데이비드 이글먼 지음 ;김승욱 옮김,RHK(알에이치코리아),2024,,9.78893E+12,3400,511.1813,431
109,(趙廷來 大河小說) 太白山脈,趙廷來,해냄출판사,2007,3,9.78897E+12,4810,813.6,430
110,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,3,9.78896E+12,4810,813.6,429
110,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,2,9.78897E+12,4810,813.62,429
112,한강:趙廷來 大河小說,趙廷來,해냄출판사,2007,3,9.78897E+12,4810,813.6,428
112,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9.79117E+12,3100,199.1,428
114,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,,9.79119E+12,3320,327.04,425
114,손실 없는 투자원칙 =대한민국 최상위 슈퍼개미의 저점매수 고점매도 /A profitable stock investment ,남석관 지음,모루(모루북스),2023,,9.7912E+12,3320,327.856,425
116,한국인의 기원 :아프리카에서 한반도까지 기후가 만든 한국인의 역사 ,박정재 지음,바다출판사,2024,,9.79117E+12,3900,453.9,424
117,트럼프 2.0 시대 =글로벌 대격변이 시작된다 /Trump 2.0 era ,박종훈 지음,글로퍼스,2024,,9.7912E+12,3320,331.544,422
118,"바람이 분다, 가라 :한강 장편소설 ",지은이: 한강,문학과지성사,2021,,9.78893E+12,3810,813.62,418
118,침묵의 퍼레이드,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2025,,9.79119E+12,,,418
120,바이러스 X :김진명 장편소설 ,지은이: 김진명,이타북스,2020,,9.79119E+12,3810,813.62,417
121,행동하지 않으면 인생은 바뀌지 않는다 :위대한 변화를 이끌어내는 아주 작은 실행의 힘 ,브라이언 트레이시 지음 ;정지현 옮김,현대지성,2024,,9.79114E+12,3190,325.211,415
122,저만치 혼자서 :김훈 소설 ,지은이: 김훈,문학동네,2022,,9.78895E+12,3810,813.62,413
123,나라를 위해서 일한다는 거짓말 :한국 공직사회는 왜 그토록 무능해졌는가 ,노한동 지음,Sideways(사이드웨이),2024,,9.79119E+12,3350,350.3104,412
124,빅 트레이더의 주도주 매매법 :지금 가장 뜨거운 종목에 투자하라! ,서희파더 지음,이레미디어,2024,,9.79119E+12,3320,327.856,411
125,초고령사회 일본이 사는 법 :10년 앞선 고령사회 리포트 ,김웅철 지음,매경출판,2024,,9.79116E+12,3300,334.6,409
125,백년운동 :척추·관절 아프지 않게 100세까지 운동하는 방법 ,저자: 정선근,아티잔,2019,,9.7912E+12,3470,517.32,409
127,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,3,9.78897E+12,4810,813.62,408
127,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,2022,1,9.79117E+12,4840,843.6,408
129,풀꽃도 꽃이다 :조정래 장편소설,지은이: 조정래,해냄,2016,1,9.78897E+12,4810,813.62,407
