순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
70,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,채사장 지음,Whale Books(웨일북),2020,1,9.79119E+12,3100,1.3,594
71,행동하지 않으면 인생은 바뀌지 않는다 :위대한 변화를 이끌어내는 아주 작은 실행의 힘 ,브라이언 트레이시 지음 ;정지현 옮김,현대지성,2024,,9.79114E+12,3190,325.211,587
72,미키7 :에드워드 애슈턴 SF 장편소설 ,지은이: 에드워드 애슈턴 ;옮긴이: 배지혜,황금가지,2022,,9.79117E+12,3840,843.6,582
73,녹나무의 파수꾼 =The camphorwood custodian ,저자: 히가시노 게이고 ;옮긴이: 양윤옥,소미미디어,2020,,9.79117E+12,3830,833.6,581
74,오싹오싹 팬티! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2018,,9.78896E+12,77840,843,578
74,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals ,저자: 송길영,교보문고,2023,,9.79117E+12,3320,331.544,578
76,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche ,장재형 지음,유노콘텐츠그룹,2022,,9.79119E+12,3160,165.77,577
77,당근 할머니 :안녕달 그림책 ,지은이: 안녕달,창비,2024,,9.78894E+12,77810,813.7,575
78,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79119E+12,3810,813.7,573
79,(The) money book :잘 살아갈 우리를 위한 금융생활 안내서 ,토스 엮음,비바리퍼블리카,2024,,9.7912E+12,3320,327.04,572
80,정의란 무엇인가 ,지은이: 마이클 샌델 ;옮긴이: 김명철,미래엔,2014,,9.78894E+12,3300,193,571
81,당근 유치원 ,지은이: 안녕달,창비,2020,,9.78894E+12,77810,813.7,568
82,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79116E+12,77810,810,561
83,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,,9.78895E+12,3810,813.7,560
84,트렌드 코리아 2025 :2025 대한민국 소비트렌드 전망 ,"지은이: 김난도,전다현",미래의창,2024,,9.78896E+12,13320,320.911,558
84,늪 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2024,,9.78897E+12,74830,833.6,558
86,불안 세대 :디지털 세계는 우리 아이들을 어떻게 병들게 하는가 ,조너선 하이트 지음 ;이충호 옮김,웅진씽크빅,2024,,9.7889E+12,3180,334.3,552
87,(원칙으로 수익 내는) 단타의 기술 =상위 1% 주식 트레이더가 지킨 단 하나의 투자 비법 /Rules of day trading ,원정연 지음,길벗,2024,,9.79114E+12,3320,327.856,551
87,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,,9.79119E+12,3810,818,551
89,부의 시나리오 :불확실성을 기회로 만드는 4가지 투자전략 ,오건영 지음,Page2(페이지2북스),2021,,9.79119E+12,3320,327.8,550
90,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79116E+12,77810,810,548
90,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,,9.79119E+12,3810,813.7,548
92,"총, 균, 쇠 :무기·병균·금속은 인류의 운명을 어떻게 바꿨는가 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상사,2005,,9.78897E+12,3900,389,544
93,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김",인플루엔셜,2014,,9.789E+12,13180,189.2,542
93,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법 ,엠제이 드마코 지음 ;신소영 옮김,북새통,2022,,9.79119E+12,13320,327.04,542
93,나라를 위해서 일한다는 거짓말 :한국 공직사회는 왜 그토록 무능해졌는가 ,노한동 지음,Sideways(사이드웨이),2024,,9.79119E+12,3350,350.3104,542
96,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘 ",앤절라 더크워스 지음 ;김미정 옮김,비즈니스북스,2019,,9.79116E+12,3190,325.211,538
96,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79116E+12,77810,810,538
98,눈에 갇힌 외딴 산장에서,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2023,,9.79119E+12,,,537
99,내면소통 =삶의 변화를 가져오는 마음근력 훈련/Inner communication,김주환 지음,인플루엔셜,2023,,9.79117E+12,3400,189.1,536
99,위기의 역사 :외환위기부터 인플레이션의 부활까지 경제위기의 생성과 소멸 ,오건영 지음 ;안병현 그림,Page2(페이지2북스),2023,,9.79117E+12,3320,320.9,536
101,(소수몽키의 한 권으로 끝내는) 미국주식 ,소수몽키 지음,길벗,2021,,9.79117E+12,13320,327.856,534
101,시대예보 :호명사회 =Forecast of the times : nominative society ,저자: 송길영,교보문고,2024,,9.79117E+12,3320,331.544,534
103,트럼프 시대의 지정학과 비트코인 =미국 세계전략의 대전환과 달러체제의 위기 /Geopolitics and Bitcoin in the Trump era ,오태민 지음,거인의 정원,2025,,9.79119E+12,3320,327.2,530
104,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79116E+12,77810,810,529
105,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,,9.78894E+12,3810,813.7,527
105,상실의 시대 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 유유정,문학사상,2011,,9.78897E+12,3830,833.6,527
107,브라질에 비가 내리면 스타벅스 주식을 사라 :경제의 큰 흐름에서 기회를 잡는 매크로 투자 가이드 ,피터 나바로 지음 ;이창식 옮김,에프엔미디어,2022,,9.79119E+12,3320,327.856,526
108,트렌드 코리아 2025 :2025 대한민국 소비트렌드 전망 ,"지은이: 김난도,전다현",미래의창,2024,2025,9.78896E+12,13320,320.911,524
109,고전이 답했다 :마땅히 살아야 할 삶에 대하여 ,고명환 지음,라곰,2024,,9.79119E+12,3320,199.1,523
110,"바람이 분다, 가라 :한강 장편소설 ",한강,문학과지성사,2010,,9.78893E+12,3810,813.62,521
111,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,,9.79114E+12,3810,813.7,520
112,(처음부터 시작하는) 주식투자 단타전략 =Stock investment ,홍인기 지음,길벗,2023,,9.79114E+12,3320,327.856,519
113,나는 미국 월배당 ETF로 40대에 은퇴한다 :7천만 원으로 월 2백만 원 받는 연 30% 이상 초고배당의 비밀! ,최영민 지음,지음미디어,2024,,9.79119E+12,3320,327.856,518
114,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,,9.78894E+12,4810,813.7,512
115,B주류경제학 :취향으로 읽는 요즘 경제 ,"이재용,토스 지음",KT 밀리의서재,2024,,9.79117E+12,3320,320.911,511
116,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79116E+12,77810,810,510
117,"총, 균, 쇠 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상,2013,,9.78897E+12,3900,389,509
118,머니 트렌드 2025 =새로운 부의 기회를 선점할 55가지 성공 시나리오 /Money trend ,"지은이: 정태익,최재붕",책읽어주는남자,2024,,9.79119E+12,3320,321.97,508
119,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,9.79117E+12,77810,810,507
119,츠츠츠츠 :이지은 그림책 ,글·그림: 이지은,사계절(사계절출판사),2024,,9.79117E+12,77810,813.7,507
121,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,,9.78894E+12,3810,813.62,506
121,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79116E+12,77810,810,506
123,노르웨이의 숲 =Norwegian wood ,지은이: 무라카미 하루키 ;옮긴이: 양억관,민음사,2017,,9.78894E+12,3830,833.6,504
123,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79116E+12,77810,810,504
123,마녀와의 7일 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2024,,9.79117E+12,3830,833.6,504
123,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,13,9.79117E+12,77810,810,504
127,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.78895E+12,3810,813.7,500
