순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
103,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,1,9.78893E+12,77400,400,"4,315"
104,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,12,9.79117E+12,77400,400,"4,312"
105,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9,9.78893E+12,77400,400,"4,281"
106,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,,9.79119E+12,3810,813.7,"4,263"
107,"넥서스 :석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 ",지은이: 유발 하라리 ;옮긴이: 김명주,김영사,2024,,9.79119E+12,3900,331.5412,"4,257"
108,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,1,9.7912E+12,74910,911,"4,230"
109,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,7,9.78893E+12,77400,400,"4,220"
110,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,6,9.7912E+12,74810,813.7,"4,209"
111,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2023,,9.79117E+12,3180,181.27,"4,195"
112,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,,9.79119E+12,3320,327.04,"4,149"
113,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,1,9.79117E+12,74810,980.2,"4,088"
114,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,6,9.79117E+12,74810,813.5,"4,082"
115,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9.79119E+12,3810,813.62,"4,063"
116,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,3,9.78893E+12,,,"4,047"
117,푸른 들판을 걷다 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 허진,다산북스,2024,,9.79113E+12,3840,843.6,"4,037"
118,연남동 빙굴빙굴 빨래방 :김지윤 장편소설 ,지은이: 김지윤,팩토리나인,2023,,9.79117E+12,3810,813.7,"4,035"
119,오백 년째 열다섯 :김혜정 장편소설 ,글: 김혜정,위즈덤하우스,2022,,9.79117E+12,43810,813.7,"4,024"
120,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,2,9.79117E+12,77810,810,"4,010"
121,부모의 어휘력 :정확히 말할수록 아이의 세상이 커지는 필수 어휘 126 ,김종원 지음,카시오페아,2024,,9.79117E+12,3590,598.1,"4,007"
